Date,VolTermStructPC1,VolTermStructPC2,MichgnConcIndx,RandPPP_Factor_Inst_TS_ST,BCMPEBLS.Index,PPP.ZA.Index_QS,GLD_FracDiff,GLD_StructBreak,GLD_LempZiev,GLD_RollSD,GLD_RollSkew,GLD_RollKurt,GenComIndexPC1_QS,GlobalEquityTS,GlobalBondVol6,GlobalPropertyVol12,USDZAR_EntDyn,GlobalEquity_EntDyn,SA_NB_Slope,SA_RB_Curvature,US_RB_Curvature,SA_CDS_Slope,EURUSDV6M.Curncy_QS,MXWD.Index.PE.Ratio_QS,TOP40.Index.Price.to.Ebitda_Diff,JALSH.Index.Price.to.Sales.Ratio_Diff,TOP40.Index.Price.to.Book.Ratio_Diff,JALSH_Fundamental_PC1,MXWD_Fundamental_PC1,zrel_momentum_vs_value_12,relvol_momentum_vs_value_12,corr_momentum_value_12,volratio_momentum_value_12,zrel_momentum_vs_quality_12,relvol_momentum_vs_quality_12,corr_momentum_quality_12,volratio_momentum_quality_12,zrel_value_vs_quality_12,relvol_value_vs_quality_12,corr_value_quality_12,volratio_value_quality_12
2008-09-08,43.35705109,4.989748294,61.2,5.642530388,-36.56,1.0,29.31228299,1.089159646,13.4,0.035480442,0.36248457,-0.223482712,0.85,-10.62404739,0.07685812,0.291851637,5.4,12.0,3.384671258,-0.30433563,-101.9125466,724.5765474,0.98,0.25,3.224511043,1.071725797,0.850931104,14.14080426,-9.681329518,0.131227437,0.031137005,0.47730865,0.865973667,1.277087145,0.046301209,-0.211467979,0.894596988,1.152954202,0.047742269,-0.120607387,1.033053339
2008-09-15,44.87121715,4.928864242,61.2,5.708005613,-36.56,1.0,68.45359237,1.33111241,13.2,0.035785175,0.323879556,-0.325466723,0.785,-11.36170367,0.076842559,0.291815846,5.4,12.2,3.734073559,-0.282512725,-131.2593849,755.9819397,0.91,0.25,3.42539886,1.090710374,0.899403043,14.1883718,-9.71097925,0.899913743,0.032076802,0.443083849,0.870654024,0.786784067,0.044082339,-0.347992843,1.10064619,0.126574708,0.045956468,-0.252304051,1.264160229
2008-09-22,45.52205167,5.093636758,61.2,5.781629905,-36.56,1.0,39.08542538,2.088005478,13.2,0.03659322,0.352861879,-0.466909689,0.605,-12.1279706,0.076915312,0.286210093,5.4,11.8,2.963166526,-0.573501449,-155.3541408,738.1647641,0.89,0.26,3.56604543,1.098842289,0.935762156,14.19028673,-9.735235975,-0.049982347,0.031920634,0.531107136,0.879298081,1.573137805,0.050699975,-0.472750077,1.077805223,1.546662665,0.052599392,-0.375702513,1.225756369
2008-09-29,45.03779919,5.096677579,63.0,5.859472556,-36.56,1.0,97.75695479,0.500682491,13.4,0.035647194,0.248816008,-0.30441205,0.755,-12.14808133,0.067512074,0.285957295,5.4,11.4,2.966685079,-0.729214783,-217.6010761,721.4634401,0.93,0.25,3.688649365,1.085858467,0.932718757,14.15730725,-9.705957565,-0.15195557,0.031010865,0.58710497,0.941819495,0.760342751,0.050449778,-0.058708572,0.912137023,0.858311199,0.050181562,0.010031225,0.968483906
2008-10-06,46.68333311,3.717898273,63.0,6.083063561,-36.56,1.0,122.980359,2.117338125,13.2,0.034564083,0.069072129,-0.084936147,0.795,-13.35271926,0.066521507,0.277041396,5.4,11.4,2.914965452,-0.654041447,-270.1538209,757.9250565,1.0,0.165,3.656721148,1.073202608,0.92774831,14.329265,-9.494260722,0.345529538,0.030383336,0.605729854,0.991536532,0.940877958,0.052754772,-0.103002849,0.922722944,0.770746299,0.050778657,-0.013652719,0.93059904
2008-10-13,56.72207039,-0.801734954,63.0,6.411763159,-36.56,1.0,121.8678447,0.599959645,13.4,0.033584861,0.14936664,0.225198357,0.985,-14.61613336,0.060561126,0.275240336,5.4,11.4,3.137657843,-0.770667208,-223.6130264,831.4691645,1.0,0.125,3.640251931,1.085936539,0.987351672,14.19406728,-9.390952679,0.612018942,0.029950586,0.640703255,0.953946784,0.640078745,0.053858009,-0.02711771,0.851357279,0.320492113,0.050369541,0.13865464,0.892457832
2008-10-20,59.07306094,-2.072752593,63.0,6.672563126,-36.56,1.0,139.8226782,1.012985609,13.2,0.049324845,-1.078888599,1.623946319,1.0,-15.90221169,0.056628348,0.270446922,5.4,11.6,3.285312639,-0.856417532,-272.6626192,749.1476127,1.0,0.095,3.79645941,1.032974997,0.942215436,13.98616194,-9.179061556,0.027693939,0.029920287,0.486388892,0.902589533,-2.604579152,0.07631437,-0.094251267,0.407664844,-2.672534588,0.074683945,0.014953742,0.451661391
2008-10-27,72.9646731,-8.244849132,63.0,7.111607949,-32.96,1.0,83.59251015,0.804601092,13.2,0.049304787,-0.978088859,1.488036522,1.0,-16.09748025,0.055504967,0.279914495,5.4,11.4,3.395616931,-0.8605236,-123.4462584,805.1454652,1.0,0.06,3.647966872,0.97556914,0.88776689,13.86889351,-8.828835856,0.549818843,0.030352524,0.527932893,0.86122495,-0.081839554,0.074742581,-0.054374442,0.424519954,-0.309611935,0.073657656,0.05268262,0.49292575
2008-11-03,78.75762023,-9.56898699,70.3,7.538937874,-35.68,1.0,43.4649551,1.406197031,14.0,0.051485252,-0.986299896,1.159251937,0.995,-14.12059717,0.053676118,0.281167317,5.4,11.8,3.246490469,-0.713706462,59.40129876,862.9935319,1.0,0.03,3.482539579,0.923452932,0.836494098,13.35149185,-8.486582227,-0.962778945,0.011836901,0.952041472,1.050062906,-1.286694363,0.081093821,-0.095265993,0.571604235,-1.206711033,0.077024773,0.001044376,0.544352374
2008-11-10,102.2361101,-13.88396258,70.3,7.892375899,-35.68,1.0,68.37605347,1.543612985,13.8,0.050215718,-1.304621104,2.030107143,0.98,-12.94877454,0.052663012,0.297592641,5.4,11.8,3.13526744,-0.694761001,315.8909448,847.4626016,1.0,0.025,3.309374743,0.856212185,0.743351262,12.72011902,-8.340925581,1.306788985,0.012438452,0.948253192,1.020093941,0.296857993,0.079909076,-0.060331235,0.577880089,0.098158162,0.076073306,0.043043521,0.566496934
