Date,Momentum,Benchmarks,Momentum_Cumulative_Relative,trend_t1,trend_tval,trend_bin
2008-11-01,-0.0159,0.008668369,0.20729851231884666,2009-02-01,8.276606457110582,1.0
2008-12-01,0.0469,0.029790774,0.2279544554155737,2009-02-01,6.185514416273778,1.0
2009-01-01,-0.0012,-0.047233168,0.28448108915806714,2009-07-01,-3.7611622439426213,0.0
2009-02-01,-0.0699,-0.094653218,0.3162761295748744,2009-04-01,-13.193469921771827,0.0
2009-03-01,0.0779,0.106042079,0.279233382750564,2009-06-01,-2.3090719255055743,0.0
2009-04-01,-0.014,0.023708955,0.23099482868592514,2010-02-01,3.875446933301244,1.0
2009-05-01,0.0853,0.086380353,0.22966491972976977,2010-03-01,5.39761014127758,1.0
2009-06-01,-0.0194,-0.013360723,0.2222386326623389,2010-04-01,7.6891247234874935,1.0
2009-07-01,0.0917,0.089891044,0.22444960857032537,2010-05-01,7.087674555893856,1.0
2009-08-01,0.0481,0.040906082,0.23325819864951236,2010-06-01,6.132190911402769,1.0
2009-09-01,-0.0003,0.003903593,0.22807408311847666,2010-04-01,5.927600695357242,1.0
2009-10-01,0.0503,0.044400815,0.23531871932849802,2010-04-01,4.533475595664821,1.0
2009-11-01,0.0,0.00455187,0.22969570910954817,2010-03-01,3.8868582554703925,1.0
2009-12-01,0.053,0.038575102,0.24743394428449106,2010-06-01,2.3077241296824855,1.0
2010-01-01,-0.0276,-0.026193841,0.24567985381682989,2010-03-01,2.7289908518153414,1.0
2010-02-01,0.013,0.01005332,0.24935047372847485,2010-08-01,-0.9023844728596485,0.0
2010-03-01,0.0823,0.06915313,0.2657755219910214,2010-08-01,-5.508497613563081,0.0
2010-04-01,0.0006,0.005787804,0.2592089266749342,2010-08-01,-3.423261093476936,0.0
2010-05-01,-0.0453,-0.044355415,0.25801949681093084,2010-08-01,-3.1963917538713673,0.0
2010-06-01,-0.0319,-0.032795175,0.25914564441398835,2010-08-01,-4.828210028743302,0.0
2010-07-01,0.078,0.083769836,0.25188058054560525,2010-09-01,1.2705549714874813,1.0
2010-08-01,-0.0329,-0.030161084,0.24845178479345953,2011-03-01,-0.8479424486649854,0.0
2010-09-01,0.1056,0.087730995,0.2707603759781929,2011-01-01,-3.5508746751340845,0.0
2010-10-01,0.0149,0.02354108,0.2597796339085352,2011-08-01,2.587615231631889,1.0
2010-11-01,-0.0067,-0.007345504,0.26059282670134154,2011-09-01,3.9796297230997317,1.0
2010-12-01,0.0631,0.064242562,0.25915252124008004,2011-10-01,6.239593992942714,1.0
2011-01-01,-0.0438,-0.032857663,0.2453744500182713,2011-11-01,11.556974294169038,1.0
2011-02-01,0.0275,0.020064775,0.25463408926340847,2011-12-01,11.955762123824561,1.0
2011-03-01,0.0169,0.017664631,0.2536747571451008,2011-12-01,13.480617023462408,1.0
2011-04-01,0.0294,0.025927531,0.2580281038753698,2011-12-01,12.587748946184673,1.0
2011-05-01,-0.0107,-0.00795318,0.25457252711908285,2011-07-01,33.480520544205895,1.0
2011-06-01,-0.0047,-0.015293452,0.26786278096563754,2011-08-01,17.226558845937415,1.0
2011-07-01,-0.0053,-0.014751181,0.27984558159170714,2012-05-01,7.17909246092372,1.0
2011-08-01,0.0125,0.004848051,0.2896388947099222,2012-06-01,7.660415887942248,1.0
2011-09-01,-0.0308,-0.03315834,0.29268030170087234,2012-06-01,7.146111072345342,1.0
2011-10-01,0.0772,0.076604567,0.29345000621095507,2011-12-01,159.2756043321476,1.0
2011-11-01,0.0291,0.019553271,0.30579822289529934,2012-09-01,7.855519329639352,1.0
2011-12-01,-0.0045,-0.013752994,0.31788076601696,2012-08-01,7.549568448492277,1.0
2012-01-01,0.0321,0.045276719,0.30051542148764976,2012-08-01,11.209711630162781,1.0
2012-02-01,0.034,0.028063397,0.3082360652403997,2012-08-01,8.952623554152119,1.0
2012-03-01,0.0197,0.00023188,0.3337049619468275,2012-06-01,6.886657945201219,1.0
2012-04-01,0.0393,0.027209508,0.34983011111960605,2012-06-01,25.77254817364702,1.0
2012-05-01,-0.0259,-0.031115735,0.35687046727422644,2012-08-01,3.6692192214007706,1.0
2012-06-01,0.0281,0.022163669,0.36492529949209085,2012-08-01,1.9186944008713154,1.0
2012-07-01,0.0665,0.031925336,0.41211713310712916,2013-02-01,-7.487273936515847,0.0
