Date,SA_NB_Level_lag1,SA_NB_Slope_lag1,SA_NB_Curvature_lag1,SA_NB_Level_QS_lag1,SA_NB_Slope_QS_lag1,SA_NB_Curvature_QS_lag1,SA_NB_Level_TS_lag1,SA_NB_Slope_TS_lag1,US_NB_Level_lag1,US_NB_Slope_lag1,US_NB_Curvature_lag1,US_NB_Level_QS_lag1,US_NB_Slope_QS_lag1,US_NB_Curvature_QS_lag1,US_NB_Level_TS_lag1,US_NB_Slope_TS_lag1,Momentum_excess_momentum_lag1,Momentum_excess_kurtosis_lag1,Momentum_excess_skewness_lag1,Value_excess_momentum_lag1,Value_excess_volatility_lag1,Value_excess_kurtosis_lag1,Value_excess_skewness_lag1,Quality_excess_momentum_lag1,Quality_excess_kurtosis_lag1,Quality_excess_skewness_lag1,Momentum_relative_volatility_lag1,Momentum_relative_kurtosis_lag1,Momentum_relative_skewness_lag1,Value_relative_volatility_lag1,Value_relative_kurtosis_lag1,Quality_relative_volatility_lag1,Quality_relative_skewness_lag1,Momentum_momentum_1M_lag1,Momentum_momentum_6M_lag1,Momentum_momentum_24M_lag1,Value_momentum_3M_lag1,Value_momentum_12M_lag1,Quality_momentum_12M_lag1,Quality_momentum_24M_lag1,Momentum_lag1,Momentum_vs_Value_lag1,Momentum_vs_Quality_lag1,Value_vs_Quality_lag1,Value_vs_Quality_Cumulative_lag1,Momentum_vs_Value_trend_lag1,Value_vs_Quality_trend_lag1,Momentum_vs_Quality_trend_lag1,trend_bin,trend_bin
2020-06-01,12.4045523,-7.172091573,-14.30741868,0.982,0.007,0.002,13.43634859,-16.77343898,1.034132499,-0.575308513,-2.556110337,0.014,0.671,0.404,-31.07752645,-18.88936811,0.16,0.1249795029585798,1.1311204503861416,-0.0899999999999999,0.1796385259347226,0.4044352303623486,1.3701059170276806,0.0099999999999999,-0.01482709613588,0.9522636960637468,0.793056212610048,1.4107603725005495,1.1345399027111225,1.27641289230612,0.6750632328648254,0.5687813745561708,-0.3154041712749591,0.13,0.0199999999999999,0.05,-0.09,-0.28,-0.16,-0.19,0.0209,0.0237,0.0237999999999999,9.999999999999984e-05,-0.1980926042086896,1.0,1.0,1.0,0.0,0.0
2020-07-01,11.10763974,-6.087282308,-11.80997444,0.955,0.035,0.03,15.62403734,-18.03555755,1.114932361,-0.457486693,-3.17780288,0.035,0.693,0.277,-27.68022806,-21.3356562,0.17,0.0287287457520695,1.0854050411441372,-0.0399999999999999,0.1827201868066763,-0.0578591824965051,1.172456977994084,0.0099999999999999,-0.0148270961358791,0.952263696063747,0.8144818537297739,1.5750230685872744,0.958768994359374,1.3313143116720196,0.9978176083508992,0.5809381441111184,-0.6817461841384967,0.02,0.0399999999999999,0.12,0.2299999999999999,-0.23,-0.1399999999999999,-0.15,0.0747,0.0061999999999999,0.0492,0.043,-0.1636105861896634,1.0,0.0,0.0,0.0,0.0
2020-08-01,11.28445063,-6.473594141,-12.42243523,0.953,0.028,0.025,16.98713058,-22.35413607,1.117862316,-0.429129962,-3.2605972,0.038,0.696,0.239,-25.0562457,-20.63256902,0.21,0.0005110406921171,1.0000510471160395,-0.0299999999999999,0.1820714145603312,-0.0645244773858015,1.1586658374703038,-4.163336342344337e-17,-0.0465763160474463,0.9579252803427564,0.8207011860931156,1.3438172669462838,-1179890494964352.8,1.2779053552209192,0.6765968516665671,0.557282638913712,-1404628630495957.8,0.07,0.1199999999999999,0.19,0.0799999999999999,-0.17,-0.1,-0.17,0.0783,0.0673,0.0804999999999999,0.0132,-0.1525702459273669,0.0,0.0,0.0,0.0,0.0
2020-09-01,11.68319495,-6.884094448,-14.52306967,0.951,0.019,0.008,17.98394002,-26.52474324,0.936422804,-0.397366556,-2.805165606,0.002,0.701,0.355,-27.774689,-18.5036054,0.24,0.1011196145124726,1.0034310109141986,-0.0099999999999999,0.1806008490197836,-0.0671431797963832,1.1360396416717964,-4.163336342344337e-17,-0.0465763160474463,0.9579252803427564,0.6764033073091361,0.6159967540671365,1.7740697386320072,1.2087839933298783,0.0496176780327182,0.4795100123142237,2.682465303815781,0.08,0.2099999999999999,0.17,0.0499999999999999,-0.15,-0.08,-0.1999999999999999,-0.0029,0.0317,0.0144999999999999,-0.0172,-0.1671460376974162,0.0,0.0,0.0,0.0,0.0
2020-10-01,11.79596625,-7.300644658,-15.38246973,0.952,0.005,0.013,19.06491323,-30.57647917,1.192872269,-0.517855795,-3.55275255,0.106,0.62,0.165,-27.41490433,-14.7853743,0.2,0.0989651121928365,1.078907984805613,0.16,0.1653682758774084,0.0019283977729287,1.0687122352421758,0.0499999999999999,-0.4226231260712119,0.7218041283345601,0.5932290400242803,5.60831620545131,-0.065048975101,0.6613792804920557,1.1519818668118478,0.288675134594813,-0.1877232454207208,-0.0,0.2599999999999999,0.16,-0.01,-0.15,-0.0699999999999999,-0.12,-0.0423,-0.0518,-0.0775,-0.0257,-0.1885503845285926,0.0,1.0,0.0,0.0,0.0
2020-11-01,11.90176,-7.329500366,-15.83174182,0.962,0.01,0.009,17.99624334,-32.76636163,1.160450751,-0.521627301,-3.431252948,0.109,0.599,0.191,-25.93706897,-11.07779781,-0.14,-0.4129110414798074,-0.0524389899491904,-0.22,0.0728468713581212,-0.8318350546703366,0.1498726385601335,-0.2,-0.9840816824883238,-0.2825400255715418,0.9166810691344656,2.8287080387250785,0.1030377612245382,0.7399516991738502,1.016754310168519,0.4614409568449603,0.2115054750615041,-0.04,0.0799999999999999,0.16,-0.08,-0.24,-0.12,-0.12,-0.0483,0.0133,-0.0223,-0.0356,-0.2174379908393746,0.0,1.0,1.0,1.0,1.0
2020-12-01,11.98226412,-7.330876356,-16.28719983,0.957,0.025,0.008,16.50668666,-32.24149912,1.378839625,-0.685597463,-3.947049682,0.162,0.535,0.025,-20.22812651,-12.98129697,0.0599999999999999,-1.5615949216425309,0.4429600250856861,0.12,0.1025670512396646,-0.4802151252728825,0.9319866565197348,0.0999999999999999,-0.5631676922467586,0.7392917635060006,1.445997610962445,2.568671306866309,-0.1370241862508021,2.0538212722098868,0.9223584978939212,1.4270121360253538,1.465483510831816,-0.05,0.0999999999999999,0.26,0.1099999999999999,-0.07,0.01,0.0,0.0353,-0.1292,-0.0804,0.0488,-0.1792489647923362,0.0,1.0,1.0,1.0,1.0
2021-01-01,11.2350071,-6.662950003,-13.74126681,0.855,0.108,0.107,12.08155014,-25.23254366,1.319895798,-0.683537859,-3.722727446,0.159,0.531,0.105,20.37358898,-19.81759908,-0.05,0.099058171745153,1.283825355112621,1.3877787807814457e-17,0.1025670512396646,0.5534271133022024,1.4875238007981657,0.0199999999999999,-0.3354374291115318,1.0562796265486036,1.0005812264367526,1.191036728127239,-0.2802041990082009,1.4354320312293,0.1593925369835835,1.0410191786093854,2.0755518143060976,0.04,0.0899999999999999,0.29,0.15,-0.03,0.04,0.0399999999999999,0.0633,0.0142999999999999,0.0169999999999999,0.0027,-0.1770329369972756,0.0,1.0,1.0,1.0,1.0
2021-02-01,10.61033056,-6.020724135,-11.75260594,0.805,0.179,0.165,-21.56406674,21.2547887,1.404316249,-0.69270301,-4.112389312,0.186,0.524,0.013,27.79267528,-25.13616628,-0.1,1.123391003460207,1.7468755510688343,0.05,0.0986745492346768,0.5306214393147126,1.441294680061902,0.0499999999999999,-0.1998378501076412,1.148455023005831,0.8539125638299676,1.4582785602503912,-0.0092529784694385,1.5176908172176151,0.4518713827890486,1.0855346225094196,1.3447420003543005,0.06,0.0199999999999999,0.27,0.25,0.0499999999999999,0.08,0.0499999999999999,0.0084,-0.0306,-0.0029,0.0277,-0.1542367493521,1.0,1.0,1.0,1.0,1.0
2021-03-01,10.74948416,-6.258825181,-12.06061365,0.802,0.164,0.167,-20.59332351,21.52926916,1.636958046,-0.869934313,-4.746977121,0.23,0.464,0.002,35.13020813,-31.69544819,-0.02,-1.2318407541452745,0.7878880414264774,0.14,0.0928798507032966,0.3320712168156916,1.2819906773195446,0.0899999999999999,-0.1157940523339666,1.1438110943163415,1.050793351076542,1.601220311863666,-0.4163991889903457,1.4178916272644653,0.2953418711474774,0.9901862198596793,1.2360345538272193,0.01,0.0999999999999999,0.33,0.15,0.22,0.18,0.0699999999999999,0.0767,0.0155,0.0615,0.046,-0.1153316398222966,0.0,1.0,0.0,0.0,0.0
