base_score,colsample_bytree,learning_rate,max_depth,subsample,mean_auc
0.5,1.0,0.5,10,0.6,0.557507426069588
0.6,1.0,0.5,10,0.8,0.5394927481183981
0.5,0.8,0.5,3,0.6,0.5337234118236661
0.5,1.0,0.5,10,0.8,0.5336989106655106
0.5,0.8,0.5,10,0.8,0.5314176952535737
