Date,OEZAKLAF_YoY,USDZAR_Ent,PPP.ZA.Index_QS,LocalBonds_Ent,SA_CDS_Lambda_QS,XAULempZiev,US_RB_Lambda_QS,SA_RB_Lambda,SA_CDS_Lambda,US_NB_Lambda
2012-04-23,-0.024775889963556473,1.3888309531241607,0.3939380364335249,-0.00038559774263882945,0.0,2.037464499582811,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-04-30,0.015528014013039985,0.8692204368674912,0.3939380364335249,-0.00038559774263882945,0.0,2.312808125727892,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-05-07,0.015528014013039985,0.6094151787391541,0.3939380364335249,-0.5425360238905675,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-05-14,0.015528014013039985,0.08980466248248227,0.3939380364335249,-0.27146081081660195,0.0,1.7621208734377278,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-05-21,0.015528014013039985,0.34960992061081936,0.3939380364335249,-0.00038559774263882945,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-05-28,0.0771692789184228,0.08980466248248227,0.3939380364335249,-0.27146081081660195,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-06-04,0.0771692789184228,0.08980466248248227,0.3939380364335249,-0.5425360238905675,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-06-11,0.0771692789184228,-0.1700005956458525,0.3939380364335249,-1.0846864500384938,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-06-18,0.0771692789184228,-0.1700005956458525,0.3939380364335249,-0.27146081081660195,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-06-25,0.0771692789184228,0.34960992061081936,0.3939380364335249,-0.27146081081660195,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-07-02,0.15509015993984263,0.08980466248248227,0.3939380364335249,-0.8136112369645306,0.0,1.7621208734377278,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-07-09,0.15509015993984263,0.6094151787391541,0.3939380364335249,-0.5425360238905675,0.0,1.2114336211475636,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-07-16,0.15509015993984263,0.08980466248248227,0.3939380364335249,-0.5425360238905675,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-07-23,0.15509015993984263,0.08980466248248227,0.3939380364335249,-0.27146081081660195,0.0,0.11005911656723781,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-07-30,0.23443353168984823,0.34960992061081936,0.3939380364335249,-1.0846864500384938,0.0,0.38540274271231867,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-08-06,0.23443353168984823,0.6094151787391541,0.3939380364335249,-1.3557616631124594,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-08-13,0.23443353168984823,1.3888309531241607,0.3939380364335249,-1.0846864500384938,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2012-08-20,0.23443353168984823,0.6094151787391541,0.3939380364335249,-1.6268368761864225,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
