Date,actual,prediction,probability
2022-04-11,0.0,0,0.2574073281697703
2022-04-18,0.0,0,0.40656976272213896
2022-04-25,0.0,0,0.18850478829072495
2022-05-02,0.0,0,0.38519420827683937
2022-05-09,0.0,0,0.37699025530093294
2022-05-16,0.0,0,0.4538636211509039
2022-05-23,0.0,0,0.44165975417342684
2022-05-30,0.0,1,0.5373701295530635
2022-06-06,0.0,0,0.3850377460392281
2022-06-13,1.0,0,0.448508138719409
2022-06-20,1.0,0,0.3541463232678064
2022-06-27,1.0,0,0.4930018769491191
2022-07-04,1.0,0,0.39002622685748956
2022-07-11,1.0,1,0.5665388923313124
2022-07-18,1.0,0,0.4833017531570423
2022-07-25,1.0,1,0.5767980993204384
2022-08-01,1.0,1,0.5601241922013861
2022-08-08,0.0,1,0.685433727349969
2022-08-15,0.0,1,0.5084984625036529
2022-08-22,0.0,0,0.36670297941812446
2022-08-29,0.0,0,0.4439387058390428
2022-09-05,0.0,0,0.3183762038733985
2022-09-12,0.0,0,0.31768083353430254
2022-09-19,0.0,0,0.3243155450453033
2022-09-26,1.0,0,0.48702299930299575
2022-10-03,1.0,0,0.28179081288827873
2022-10-10,1.0,1,0.5558928726504189
2022-10-17,1.0,1,0.6113904166006837
2022-10-24,1.0,1,0.5642144292975466
2022-10-31,1.0,0,0.49246736554312137
2022-11-07,0.0,1,0.5750625170123319
2022-11-14,0.0,0,0.3996035753720201
2022-11-21,0.0,0,0.48864033441255195
2022-11-28,1.0,0,0.4298179801341048
2022-12-05,1.0,0,0.441242155752549
2022-12-12,1.0,1,0.5625266638199045
2022-12-19,1.0,0,0.37865100541984853
2022-12-26,1.0,1,0.5061774681098016
2023-01-02,1.0,1,0.5916325015681876
2023-01-09,1.0,1,0.5411182950813461
2023-01-16,1.0,0,0.4255178661286502
2023-01-23,1.0,1,0.5383981102001488
2023-01-30,0.0,0,0.2905353874800999
2023-02-06,0.0,0,0.35407492582232974
2023-02-13,0.0,0,0.34576373423701157
2023-02-20,0.0,0,0.3266168693653104
2023-02-27,0.0,0,0.21239527975848965
2023-03-06,1.0,0,0.2582306850724494
2023-03-13,1.0,0,0.3709643223500039
2023-03-20,1.0,1,0.5026934199268976
2023-03-27,1.0,0,0.4173766246360445
2023-04-03,1.0,1,0.5390573742640352
2023-04-10,1.0,1,0.5626125777735423
2023-04-17,0.0,0,0.4733509700464006
2023-04-24,0.0,0,0.4033341683677945
2023-05-01,0.0,0,0.3616881432511707
2023-05-08,0.0,0,0.37447120348914725
2023-05-15,0.0,0,0.42152122087889954
2023-05-22,0.0,0,0.3960609363101067
2023-05-29,1.0,1,0.5774864700968132
2023-06-05,1.0,1,0.5930220798188974
2023-06-12,1.0,0,0.28503382933891486
2023-06-19,1.0,1,0.5764813123765117
2023-06-26,1.0,0,0.3836398817176696
2023-07-03,1.0,0,0.43465221125050446
2023-07-10,1.0,0,0.38237845579732227
2023-07-17,1.0,1,0.6506026372515483
2023-07-24,1.0,0,0.3670195413216461
2023-07-31,1.0,1,0.533678260856749
2023-08-07,0.0,0,0.38322620847382033
2023-08-14,1.0,1,0.5452035675037948
2023-08-21,0.0,1,0.5041059117751011
2023-08-28,0.0,1,0.5289839117303474
2023-09-04,0.0,0,0.48209758915824585
2023-09-11,0.0,1,0.6010789649069073
2023-09-18,0.0,0,0.4437230604130396
2023-09-25,0.0,0,0.45603634950583016
2023-10-02,0.0,1,0.527603158675488
2023-10-09,1.0,0,0.37253089238382653
2023-10-16,1.0,1,0.5372790827067957
2023-10-23,1.0,1,0.6305913183278967
2023-10-30,1.0,1,0.5075107221769689
2023-11-06,1.0,1,0.5097535589411769
2023-11-13,0.0,1,0.7291896246145705
2023-11-20,1.0,1,0.5094737592426509
2023-11-27,1.0,0,0.4101493643192142
2023-12-04,1.0,1,0.604288206838168
2023-12-11,1.0,0,0.3712811262300841
2023-12-18,1.0,1,0.5962434168844318
2023-12-25,0.0,1,0.5637665648660916
2024-01-01,0.0,1,0.5991766596993369
2024-01-08,0.0,0,0.4540705085517598
2024-01-15,0.0,1,0.5798438924259355
2024-01-22,0.0,0,0.4658299302132134
2024-01-29,0.0,1,0.5365550124395602
2024-02-05,0.0,0,0.4905984744023576
2024-02-12,1.0,1,0.5173061409578483
2024-02-19,1.0,0,0.36811302557492837
2024-02-26,1.0,1,0.5438323027591426
2024-03-04,0.0,1,0.5172511951774683
2024-03-11,0.0,1,0.5554667535759563
2024-03-18,0.0,1,0.5521469121795223
2024-03-25,0.0,0,0.4926908955168898
2024-04-01,1.0,0,0.4322310977295265
2024-04-08,1.0,0,0.37890792594962874
2024-04-15,1.0,1,0.5046124848279633
2024-04-22,0.0,1,0.5056914133452554
2024-04-29,0.0,1,0.5666264637102408
2024-05-06,0.0,0,0.4639405114263819
2024-05-13,0.0,1,0.5448677745878897
2024-05-20,0.0,0,0.22921071713062852
2024-05-27,1.0,0,0.2433849937026819
2024-06-03,1.0,0,0.3262367023561506
2024-06-10,1.0,1,0.5839819815872755
2024-06-17,1.0,1,0.5101886425814665
2024-06-24,0.0,1,0.6069840476653551
2024-07-01,0.0,0,0.46738774059355487
2024-07-08,0.0,0,0.3634831254916488
2024-07-15,1.0,0,0.395839342880366
2024-07-22,0.0,0,0.48466577253530624
2024-07-29,0.0,0,0.39177603419149576
2024-08-05,0.0,0,0.4245154103330498
2024-08-12,0.0,1,0.5963334828842948
2024-08-19,1.0,0,0.3987246855281506
2024-08-26,1.0,0,0.42396671976585104
2024-09-02,1.0,1,0.6039976092618217
2024-09-09,1.0,1,0.5732285047812007
2024-09-16,1.0,1,0.594632531552932
2024-09-23,1.0,1,0.5044687771808998
2024-09-30,1.0,1,0.6288392435233083
2024-10-07,1.0,1,0.5604447581827442
2024-10-14,1.0,0,0.49170660651445813
2024-10-21,1.0,0,0.47166006733239785
2024-10-28,1.0,1,0.6078730150739214
2024-11-04,1.0,0,0.4492271633831987
2024-11-11,0.0,1,0.5470045628232421
2024-11-18,0.0,0,0.3683979380854874
2024-11-25,0.0,1,0.5105189208157335
2024-12-02,0.0,0,0.3762884396684627
2024-12-09,0.0,0,0.19861414876803127
2024-12-16,0.0,0,0.206338887407647
2024-12-23,0.0,0,0.28174443203998356
2024-12-30,1.0,0,0.19334789784357528
2025-01-06,1.0,0,0.3429999318054602
2025-01-13,1.0,0,0.3454347420023513
2025-01-20,1.0,0,0.3988009700882265
2025-01-27,1.0,0,0.3880360253501865
2025-02-03,1.0,1,0.5691631146280254
2025-02-10,1.0,0,0.4806438190636869
2025-02-17,1.0,1,0.5282106637688336
2025-02-24,1.0,1,0.6087149132510528
2025-03-03,1.0,1,0.5249699419880923
2025-03-10,1.0,1,0.6087851867779239
2025-03-17,1.0,1,0.5573210983443785
2025-03-24,1.0,0,0.3454412975405613
2025-03-31,1.0,1,0.726699774679389
