Date,p_M_gt_V,p_M_gt_Q,p_V_gt_Q,Momentum_score,Value_score,Quality_score,Momentum_w,Value_w,Quality_w
2021-02-08,0.818802844525389,0.7344100933470028,0.706181550719745,1.5532129378723918,0.524984395245134,-0.5594083559332522,,,
2021-02-15,0.6042668277087655,0.7185790323065951,0.7771962342302113,1.3228458600153608,0.38146306193897683,-0.5042247334631935,,,
2021-02-22,0.5938576256212916,0.6681111146423696,0.807830417556341,1.2619687402636612,0.4016880431776326,-0.5240584678012894,,,
2021-03-01,0.6631114206174359,0.641033258135993,0.7322471697058467,1.304144678753429,0.3953585903232826,-0.6267195721581603,,,
2021-03-08,0.3888262908918329,0.6053398365568833,0.7144463565559744,0.9941661274487161,0.1032726474478074,-0.6802138068871423,,,
2021-03-15,0.1962288600244783,0.6398504643629952,0.7754920163199049,0.8360793243874736,-0.02827912365561669,-0.5846575193170999,,,
2021-03-22,0.2852868239026966,0.6279634530259333,0.776162590434284,0.9132502769286299,0.0614494143369807,-0.5958739565397827,,,
2021-03-29,0.2462386353516673,0.5651706346011394,0.6598684986079959,0.8114092699528066,-0.09389286604033686,-0.7749608667908647,,,
2021-04-05,0.2830272439509234,0.5756881887647285,0.7199466007584687,0.8587154327156519,0.002973844709392104,-0.7043652104768028,,,
2021-04-12,0.4744144278222919,0.5442648411887296,0.6913713813869448,1.0186792690110216,0.1657858092092367,-0.7643637774243256,,,
2021-04-19,0.5447166716627303,0.5192861221587393,0.6660715112201266,1.0640027938214696,0.21078818288285694,-0.8146423666211341,,,
2021-04-26,0.6334817973647586,0.5858651242881907,0.7355757415926385,1.2193469216529493,0.3690575389573971,-0.6785591341191708,,,
2021-05-03,0.7316497939190756,0.572772938491152,0.7127878634077887,1.3044227324102275,0.44443765732686424,-0.7144391981010594,,,
2021-05-10,0.8006286714228238,0.5174661108541947,0.6157041805820573,1.3180947822770186,0.4163328520048811,-0.866829708563748,,,
2021-05-17,0.6444386412189169,0.6412887224840867,0.8059084457711435,1.2857273637030038,0.45034708699006043,-0.5528028317447697,,,
2021-05-24,0.6788555397766882,0.554282787335307,0.6742640135878492,1.2331383271119951,0.3531195533645374,-0.7714531990768438,,,
2021-05-31,0.5558433109382416,0.540495335591908,0.6682624974319891,1.0963386465301497,0.22410580837023064,-0.791242166976103,0.5,0.5,0.0
2021-06-07,0.4969837719703446,0.543385721416411,0.6821076747235197,1.0403694933867556,0.17909144669386434,-0.7745066038600693,0.5,0.5,0.0
2021-06-14,0.4653715726496335,0.5478569435111516,0.6934024951788154,1.013228516160785,0.15877406782844883,-0.7587405613100331,0.5,0.5,0.0
2021-06-21,0.5838735924354908,0.4642250119770421,0.6186646111074682,1.0480986044125329,0.20253820354295893,-0.9171103769154897,0.5,0.5,0.0
2021-06-28,0.5470251765092652,0.5220401481302043,0.6508785606398946,1.0690653246394695,0.19790373714915976,-0.8270812912299011,0.5,0.5,0.0
2021-07-05,0.6909829445382285,0.5196715182323506,0.6378571498144004,1.210654462770579,0.32884009435262895,-0.842471331953249,0.5,0.5,0.0
2021-07-12,0.6185677495954236,0.5804411723102962,0.7275717430661574,1.1990089219057198,0.34613949266158095,-0.6919870846235464,0.5,0.5,0.0
2021-07-19,0.7683586694652473,0.5838347203724346,0.6803116863040252,1.352193389837682,0.4486703557692725,-0.7358535933235403,0.5,0.5,0.0
2021-07-26,0.8564691710283026,0.5500048642937959,0.6413689992376698,1.4064740353220984,0.4978381702659723,-0.8086261364685343,0.5,0.5,0.0
2021-08-02,0.8588029946567225,0.5586701908871889,0.6440880605539585,1.4174731855439116,0.502891055210681,-0.7972417485588525,0.5,0.5,0.0
2021-08-09,0.8357580469941506,0.598787434003209,0.7002993658652266,1.4345454809973597,0.5360574128593771,-0.7009132001315644,0.5,0.5,0.0
2021-08-16,0.7424989268236175,0.5107405904047747,0.5747627302885195,1.2532395172283923,0.31726165711213705,-0.9144966793067058,0.5,0.5,0.0
2021-08-23,0.7694625110374229,0.4818405255612836,0.5422578104283072,1.2513030365987066,0.31172032146573014,-0.9759016640104091,0.5,0.5,0.0
2021-08-30,0.7039988868803259,0.4040260804417281,0.443075098741861,1.108024967322054,0.14707398562218688,-1.1528988208164108,0.5,0.5,0.0
2021-09-06,0.472908514381381,0.4855141481563983,0.6068698322767229,0.9584226625377793,0.0797783466581038,-0.9076160195668789,0.5,0.5,0.0
2021-09-13,0.3610869745235506,0.4967101226249775,0.6431454965332365,0.857797097148528,0.004232471056787035,-0.860144380841786,0.5,0.5,0.0
2021-09-20,0.4018813220520988,0.4775318151838674,0.5862048586396547,0.8794131372359661,-0.011913819308246532,-0.9362633261764779,0.5,0.5,0.0
