feature,cluster
ZAR5Y.Curncy_QS,1
value_drawdown,1
SABreakEvenInflPC_3,1
value_skew_26w,1
MXWD.Index.Price.to.Ebitda_Diff,1
VixMoveSpread,1
US_NB_R2_QS,1
VolTermStructPC1_QS,1
GE_LE_Corr,1
WOG1_Ent_TS,1
HG1.Comdty_Diff_QS,1
GlobalPropertyGret3,1
USDZARGret3,1
ZAR21M.Curncy_QS,1
LocalEquityGret6,1
SA_CDS_Curvature_QS,1
US_RB_Slope,1
quality_ret_lag4,1
DXY.Curncy_QS,1
GenComIndexPC2,1
quality_zscore_12w,1
quality_bollinger_z,1
SA_RB_R2_QS,1
GenComIndexPC1_QS,1
SA_CDS_Lambda_QS,6
LocalEquitySB,1
LocalEquityGret3,1
InflGrowthSurpPC2_QS,1
quality_roll_mean_12w,1
JALSH_Ent_TS,1
ZAR_FwdPts_PC2_TS,1
JALSH.Index.Price.to.Book.Ratio_QS,1
USDZARVON.Curncy_QS,1
XAULempZiev,2
value_roll_mean_12w,1
value_macd_hist,1
LE_LB_Corr,1
LA1RollSkew,1
USDZAR_Vol_Slope,1
MXWD.Index.Price.to.Sales.Ratio_Diff,1
USRealBndStructBreak_Level,1
LocalBondsTS,1
LocalBondsGret1,1
GenComIndexPC1,1
SubIndex_PC1_TS,1
SA_NB_R2,1
GlobalPropertyGret1,1
value_macd,1
JALSH.Index.Price.to.Ebitda_QS,1
USDZARTS,1
GlobalBondGret1,1
quality_ret_lag12,1
SANomBndStructBreak_Slope,1
BICLB10Y.Index_QS,1
GlobalBonds_EntDyn,1
MXWD.Index.PE.Ratio_Diff,1
USDEUR_Vol_QS_Level,1
TOP40.Index.Price.to.Sales.Ratio_QS,1
LocalPropertyGret3,1
GlobalBondSB,1
MOVEStructBreak,1
US_NB_Level_TS,1
GlobalEquityGret12,1
US_RB_Lambda_QS,7
JALSH.Index.Forward.PE_QS,1
ECSURPUS.Index_QS,1
GlobalBonds_Ent,1
GlobalEquity_Ent,1
SA_RB_Lambda,8
AAII_Bull_TS,1
MXWD.Index.Forward.PE_Diff,1
LocalGlobalPEFwdSpreadQS,1
RepSouCDSStructBreak,1
USNomBndStructBreak_Level,1
LocalEquityGret1,1
LocalBondsGret12,1
SA_NB_Curvature,1
ZAR2Y.Curncy_QS,1
SA_CDS_Lambda,9
GlobalEquity_EntDyn,1
US_NB_Lambda,10
SA_NB_Lambda_QS,11
LA1.Comdty_Diff_QS,1
USDZARV1W.Curncy_QS,1
